OMRÅDE;ALDER;TID;CIVILSTAND;INDHOLD
Kalundborg;33 år;2009K2;Enke/enkemand;1
Kalundborg;33 år;2010K1;Ugift;226
Kalundborg;33 år;2010K1;Gift/separeret;295
Kalundborg;33 år;2010K1;Enke/enkemand;1
Kalundborg;33 år;2013K4;Ugift;205
Kalundborg;33 år;2013K4;Gift/separeret;222
Kalundborg;33 år;2013K4;Enke/enkemand;1
Kalundborg;33 år;2014K4;Ugift;213
Kalundborg;33 år;2014K4;Gift/separeret;188
Kalundborg;33 år;2014K4;Enke/enkemand;0
Kalundborg;33 år;2019K1;Ugift;242
Kalundborg;33 år;2019K1;Gift/separeret;160
Kalundborg;33 år;2019K1;Enke/enkemand;1
Slagelse;10 år;2008K1;Ugift;1004
Slagelse;10 år;2008K1;Gift/separeret;0
Slagelse;10 år;2008K1;Enke/enkemand;0
Slagelse;10 år;2009K2;Ugift;951
Slagelse;10 år;2009K2;Gift/separeret;0
Slagelse;10 år;2009K2;Enke/enkemand;0
Slagelse;10 år;2010K1;Ugift;915
Slagelse;10 år;2010K1;Gift/separeret;0
Slagelse;10 år;2010K1;Enke/enkemand;0
Slagelse;10 år;2013K4;Ugift;851
Slagelse;10 år;2013K4;Gift/separeret;0
Slagelse;10 år;2013K4;Enke/enkemand;0
Slagelse;10 år;2014K4;Ugift;923
Slagelse;10 år;2014K4;Gift/separeret;0
Slagelse;10 år;2014K4;Enke/enkemand;0
Slagelse;10 år;2019K1;Ugift;874
Slagelse;10 år;2019K1;Gift/separeret;0
Slagelse;10 år;2019K1;Enke/enkemand;0
Slagelse;18 år;2008K1;Ugift;941
Slagelse;18 år;2008K1;Gift/separeret;6
Slagelse;18 år;2008K1;Enke/enkemand;0
Slagelse;18 år;2009K2;Ugift;1002
Slagelse;18 år;2009K2;Gift/separeret;1
Slagelse;18 år;2009K2;Enke/enkemand;0
Slagelse;18 år;2010K1;Ugift;975
Slagelse;18 år;2010K1;Gift/separeret;1
Slagelse;18 år;2010K1;Enke/enkemand;0
Slagelse;18 år;2013K4;Ugift;1121
Slagelse;18 år;2013K4;Gift/separeret;1
Slagelse;18 år;2013K4;Enke/enkemand;0
Slagelse;18 år;2014K4;Ugift;1002
Slagelse;18 år;2014K4;Gift/separeret;2
Slagelse;18 år;2014K4;Enke/enkemand;0
Slagelse;18 år;2019K1;Ugift;1017
Slagelse;18 år;2019K1;Gift/separeret;2
Slagelse;18 år;2019K1;Enke/enkemand;0
Slagelse;27 år;2008K1;Ugift;635
Slagelse;27 år;2008K1;Gift/separeret;198
Slagelse;27 år;2008K1;Enke/enkemand;1
Slagelse;27 år;2009K2;Ugift;612
Slagelse;27 år;2009K2;Gift/separeret;152
Slagelse;27 år;2009K2;Enke/enkemand;0
Slagelse;27 år;2010K1;Ugift;620
Slagelse;27 år;2010K1;Gift/separeret;156
Slagelse;27 år;2010K1;Enke/enkemand;0
Slagelse;27 år;2013K4;Ugift;597
Slagelse;27 år;2013K4;Gift/separeret;139
Slagelse;27 år;2013K4;Enke/enkemand;0
Slagelse;27 år;2014K4;Ugift;627
Slagelse;27 år;2014K4;Gift/separeret;144
Slagelse;27 år;2014K4;Enke/enkemand;0
Slagelse;27 år;2019K1;Ugift;820
Slagelse;27 år;2019K1;Gift/separeret;151
Slagelse;27 år;2019K1;Enke/enkemand;0
Slagelse;77 år;2008K1;Ugift;25
Slagelse;77 år;2008K1;Gift/separeret;246
Slagelse;77 år;2008K1;Enke/enkemand;165
Slagelse;77 år;2009K2;Ugift;22
Slagelse;77 år;2009K2;Gift/separeret;258
Slagelse;77 år;2009K2;Enke/enkemand;175
Slagelse;77 år;2010K1;Ugift;29
Slagelse;77 år;2010K1;Gift/separeret;262
Slagelse;77 år;2010K1;Enke/enkemand;196
Slagelse;77 år;2013K4;Ugift;21
Slagelse;77 år;2013K4;Gift/separeret;300
Slagelse;77 år;2013K4;Enke/enkemand;158
Slagelse;77 år;2014K4;Ugift;22
Slagelse;77 år;2014K4;Gift/separeret;285
Slagelse;77 år;2014K4;Enke/enkemand;143
Slagelse;77 år;2019K1;Ugift;25
Slagelse;77 år;2019K1;Gift/separeret;365
Slagelse;77 år;2019K1;Enke/enkemand;175
Slagelse;25 år;2008K1;Ugift;695
Slagelse;25 år;2008K1;Gift/separeret;80
Slagelse;25 år;2008K1;Enke/enkemand;0
Slagelse;25 år;2009K2;Ugift;617
Slagelse;25 år;2009K2;Gift/separeret;84
Slagelse;25 år;2009K2;Enke/enkemand;0
Slagelse;25 år;2010K1;Ugift;654
Slagelse;25 år;2010K1;Gift/separeret;78
Slagelse;25 år;2010K1;Enke/enkemand;0
Slagelse;25 år;2013K4;Ugift;671
Slagelse;25 år;2013K4;Gift/separeret;88
Slagelse;25 år;2013K4;Enke/enkemand;0
Slagelse;25 år;2014K4;Ugift;727
Slagelse;25 år;2014K4;Gift/separeret;74
Slagelse;25 år;2014K4;Enke/enkemand;0
Slagelse;25 år;2019K1;Ugift;948
Slagelse;25 år;2019K1;Gift/separeret;78
Slagelse;25 år;2019K1;Enke/enkemand;0
Slagelse;33 år;2008K1;Ugift;441
Slagelse;33 år;2008K1;Gift/separeret;483
Slagelse;33 år;2008K1;Enke/enkemand;1
Slagelse;33 år;2009K2;Ugift;404
Slagelse;33 år;2009K2;Gift/separeret;477
Slagelse;33 år;2009K2;Enke/enkemand;1
Slagelse;33 år;2010K1;Ugift;416
Slagelse;33 år;2010K1;Gift/separeret;478
Slagelse;33 år;2010K1;Enke/enkemand;0
Slagelse;33 år;2013K4;Ugift;398
Slagelse;33 år;2013K4;Gift/separeret;373
Slagelse;33 år;2013K4;Enke/enkemand;1
Slagelse;33 år;2014K4;Ugift;366
Slagelse;33 år;2014K4;Gift/separeret;351
Slagelse;33 år;2014K4;Enke/enkemand;1
Slagelse;33 år;2019K1;Ugift;454
Slagelse;33 år;2019K1;Gift/separeret;303
Slagelse;33 år;2019K1;Enke/enkemand;2
Region Syddanmark;10 år;2008K1;Ugift;15762
Region Syddanmark;10 år;2008K1;Gift/separeret;0
Region Syddanmark;10 år;2008K1;Enke/enkemand;0
Region Syddanmark;10 år;2009K2;Ugift;15092
Region Syddanmark;10 år;2009K2;Gift/separeret;0
Region Syddanmark;10 år;2009K2;Enke/enkemand;0
Region Syddanmark;10 år;2010K1;Ugift;15105
Region Syddanmark;10 år;2010K1;Gift/separeret;0
Region Syddanmark;10 år;2010K1;Enke/enkemand;0
Region Syddanmark;10 år;2013K4;Ugift;14255
Region Syddanmark;10 år;2013K4;Gift/separeret;0
Region Syddanmark;10 år;2013K4;Enke/enkemand;0
Region Syddanmark;10 år;2014K4;Ugift;14286
Region Syddanmark;10 år;2014K4;Gift/separeret;0
Region Syddanmark;10 år;2014K4;Enke/enkemand;0
Region Syddanmark;10 år;2019K1;Ugift;14836
Region Syddanmark;10 år;2019K1;Gift/separeret;0
Region Syddanmark;10 år;2019K1;Enke/enkemand;0
Region Syddanmark;18 år;2008K1;Ugift;15137
Region Syddanmark;18 år;2008K1;Gift/separeret;13
Region Syddanmark;18 år;2008K1;Enke/enkemand;0
Region Syddanmark;18 år;2009K2;Ugift;15995
Region Syddanmark;18 år;2009K2;Gift/separeret;15
Region Syddanmark;18 år;2009K2;Enke/enkemand;0
Region Syddanmark;18 år;2010K1;Ugift;15813
Region Syddanmark;18 år;2010K1;Gift/separeret;7
Region Syddanmark;18 år;2010K1;Enke/enkemand;0
Region Syddanmark;18 år;2013K4;Ugift;16797
Region Syddanmark;18 år;2013K4;Gift/separeret;10
Region Syddanmark;18 år;2013K4;Enke/enkemand;0
Region Syddanmark;18 år;2014K4;Ugift;16059
Region Syddanmark;18 år;2014K4;Gift/separeret;12
Region Syddanmark;18 år;2014K4;Enke/enkemand;0
Region Syddanmark;18 år;2019K1;Ugift;15816
Region Syddanmark;18 år;2019K1;Gift/separeret;4
Region Syddanmark;18 år;2019K1;Enke/enkemand;0
Region Syddanmark;27 år;2008K1;Ugift;9544
Region Syddanmark;27 år;2008K1;Gift/separeret;2622
Region Syddanmark;27 år;2008K1;Enke/enkemand;3
Region Syddanmark;27 år;2009K2;Ugift;9086
Region Syddanmark;27 år;2009K2;Gift/separeret;2410
Region Syddanmark;27 år;2009K2;Enke/enkemand;6
Region Syddanmark;27 år;2010K1;Ugift;8911
Region Syddanmark;27 år;2010K1;Gift/separeret;2455
Region Syddanmark;27 år;2010K1;Enke/enkemand;4
Region Syddanmark;27 år;2013K4;Ugift;9710
Region Syddanmark;27 år;2013K4;Gift/separeret;2240
Region Syddanmark;27 år;2013K4;Enke/enkemand;1
Region Syddanmark;27 år;2014K4;Ugift;9835
Region Syddanmark;27 år;2014K4;Gift/separeret;2203
Region Syddanmark;27 år;2014K4;Enke/enkemand;2
